"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 23 22:21:21 GMT 2022","Tue Aug 23 22:21:21 GMT 2022","71","","Transaction Controller Test","","com.example.transactionengine.transaction.TransactionControllerTest","testAmountNegativeForExecute","Test amount is negative execute request","Test amount is negative execute requestAcceptance Criteria = 400 Bad Request"
"passed","Tue Aug 23 22:21:21 GMT 2022","Tue Aug 23 22:21:21 GMT 2022","40","","Transaction Controller Test","","com.example.transactionengine.transaction.TransactionControllerTest","testCustomerIdNotFoundForExecute","Test account length not 13 for execute request","Test account length not 13 for execute requestAcceptance Criteria = 400 Bad Request"
"failed","Tue Aug 23 22:21:20 GMT 2022","Tue Aug 23 22:21:21 GMT 2022","989","","Transaction Controller Test","","com.example.transactionengine.transaction.TransactionControllerTest","testExecute","Test success execution of a transaction","First initialize the request then send it to the controller Acceptance Criteria = 200 Success"
"passed","Tue Aug 23 22:21:16 GMT 2022","Tue Aug 23 22:21:16 GMT 2022","479","","com.example.transactionengine.TransactionEngineApplicationTests","","com.example.transactionengine.TransactionEngineApplicationTests","initialize","initialize()",""
"passed","Tue Aug 23 22:21:21 GMT 2022","Tue Aug 23 22:21:21 GMT 2022","65","","Transaction Controller Test","","com.example.transactionengine.transaction.TransactionControllerTest","testSameSourceDestinationAccountForExecute","Test Same destination source account for execute request","Test Same destination source account for execute requestAcceptance Criteria = 422 Bad Request"
