"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 23 15:07:51 GMT 2022","Tue Aug 23 15:07:51 GMT 2022","70","","Transaction Controller Test","","com.example.transactionengine.transaction.TransactionControllerTest","testSameSourceDestinationAccountForExecute","Test Same destination source account for execute request","Test Same destination source account for execute requestAcceptance Criteria = 422 Bad Request"
"passed","Tue Aug 23 15:07:51 GMT 2022","Tue Aug 23 15:07:51 GMT 2022","63","","Transaction Controller Test","","com.example.transactionengine.transaction.TransactionControllerTest","testAmountNegativeForExecute","Test amount is negative execute request","Test amount is negative execute requestAcceptance Criteria = 400 Bad Request"
"passed","Tue Aug 23 15:07:48 GMT 2022","Tue Aug 23 15:07:48 GMT 2022","369","","com.example.transactionengine.TransactionEngineApplicationTests","","com.example.transactionengine.TransactionEngineApplicationTests","initialize","initialize()",""
"passed","Tue Aug 23 15:07:50 GMT 2022","Tue Aug 23 15:07:51 GMT 2022","970","","Transaction Controller Test","","com.example.transactionengine.transaction.TransactionControllerTest","testExecute","Test success execution of a transaction","First initialize the request then send it to the controller Acceptance Criteria = 200 Success"
"passed","Tue Aug 23 15:07:51 GMT 2022","Tue Aug 23 15:07:51 GMT 2022","28","","Transaction Controller Test","","com.example.transactionengine.transaction.TransactionControllerTest","testCustomerIdNotFoundForExecute","Test account length not 13 for execute request","Test account length not 13 for execute requestAcceptance Criteria = 400 Bad Request"
